sale_date,total_revenue,net_revenue,gross_profit,total_quantity_sold,gross_margin_percentage
2023-02-03,1241012.41,1119199.25,485778.34,3041,43.40
2023-02-04,1080801.58,979378.61,430369.35,2801,43.94
2023-02-05,1111917.10,1015800.83,440413.61,2953,43.36
2023-02-06,1163819.87,1052977.86,474474.27,2945,45.06
2023-02-07,1097235.78,992696.81,424093.82,2944,42.72
2023-02-08,1220876.93,1112858.77,497236.76,2992,44.68
2023-02-09,1237787.92,1119050.17,477998.75,3134,42.71
2023-02-10,1170500.25,1059942.64,456186.30,3149,43.04
2023-02-11,1181553.60,1073995.54,478762.65,2962,44.58
2023-02-12,1225945.06,1112684.89,487156.19,3161,43.78
2023-02-13,1134262.37,1029993.01,446198.22,2916,43.32
2023-02-14,1096796.37,994694.89,436416.69,2779,43.87
2023-02-15,1092380.27,987123.21,429947.82,2776,43.56
2023-02-16,1160239.24,1041761.77,452631.19,2888,43.45
2023-02-17,1182382.29,1066426.07,461128.79,3051,43.24
2023-02-18,1126925.66,1022660.34,453712.65,2804,44.37
2023-02-19,1132603.87,1033099.02,448353.85,3003,43.40
2023-02-20,1204475.05,1096410.98,474983.90,3162,43.32
2023-02-21,1185788.69,1077031.09,461328.37,3116,42.83
2023-02-22,1311987.89,1185068.79,511295.68,3233,43.14
2023-02-23,1111034.42,1000872.04,415646.90,2950,41.53
2023-02-24,1188341.16,1078886.51,457780.98,3124,42.43
2023-02-25,1149042.47,1043012.97,455531.45,2990,43.67
2023-02-26,1173954.95,1070170.80,475608.61,3092,44.44
2023-02-27,1127361.86,1019142.73,442071.95,2907,43.38
2023-02-28,1157016.36,1051173.75,468948.81,3041,44.61
2023-03-01,1052603.54,957013.00,423986.23,2642,44.30
2023-03-02,1167696.95,1060740.97,474011.04,3051,44.69
2023-03-03,1081939.41,983657.54,421487.31,2894,42.85
2023-03-04,1115214.40,1018097.29,451231.97,2906,44.32
2023-03-05,1166362.41,1056946.42,463955.22,2964,43.90
2023-03-06,1143004.03,1037773.06,459955.20,3020,44.32
2023-03-07,1039611.40,948044.26,411076.41,2779,43.36
2023-03-08,1160151.56,1043013.71,452472.35,2951,43.38
2023-03-09,1132427.86,1030402.51,459719.53,2896,44.62
2023-03-10,1335573.96,1209859.73,539897.50,3321,44.62
2023-03-11,1063537.67,965575.66,429844.74,2694,44.52
2023-03-12,1181372.84,1074616.07,465784.86,3042,43.34
2023-03-13,1186194.02,1069630.88,463873.13,3025,43.37
2023-03-14,1025215.00,933080.07,401649.44,2677,43.05
2023-03-15,1121559.32,1018507.03,449902.86,2997,44.17
2023-03-16,1227330.90,1111172.09,502446.93,3068,45.22
2023-03-17,1159585.96,1060751.76,478974.17,2975,45.15
2023-03-18,1064129.32,967282.67,430174.57,2797,44.47
2023-03-19,1148198.25,1047006.13,460533.70,2868,43.99
2023-03-20,1128816.81,1029425.29,458905.18,2859,44.58
2023-03-21,1158997.25,1055486.06,461012.52,2868,43.68
2023-03-22,1201929.44,1084596.57,465934.13,2958,42.96
2023-03-23,1091058.66,987262.33,433799.65,2833,43.94
2023-03-24,1079080.84,975312.94,425120.53,2744,43.59
2023-03-25,1182768.56,1079578.43,476966.79,3182,44.18
2023-03-26,1124585.74,1021205.37,443223.05,2982,43.40
2023-03-27,1205268.88,1096965.84,497109.98,2996,45.32
2023-03-28,1109075.24,1000286.24,432830.97,2878,43.27
2023-03-29,1238591.02,1122158.01,477807.35,3215,42.58
2023-03-30,1074623.65,977496.39,426078.94,2726,43.59
2023-03-31,1221801.44,1105748.08,491368.83,3040,44.44
2023-04-01,1176884.85,1060697.96,456581.54,2974,43.05
2023-04-02,1009961.76,916497.90,407136.59,2623,44.42
2023-04-03,1203339.62,1094544.25,483208.64,3080,44.15
2023-04-04,1147813.60,1041131.47,466877.31,2945,44.84
2023-04-05,1107069.96,999799.35,433097.63,2911,43.32
2023-04-06,1140207.15,1033612.07,461643.40,2948,44.66
2023-04-07,1182709.19,1077309.40,463996.03,3019,43.07
2023-04-08,1091445.88,997169.71,431096.57,2855,43.23
2023-04-09,1177469.98,1074043.17,476573.43,2949,44.37
2023-04-10,1277334.40,1157885.02,519519.50,3100,44.87
2023-04-11,1103292.48,1006676.76,442288.00,2944,43.94
2023-04-12,1155124.45,1054494.20,463409.12,2874,43.95
2023-04-13,1156690.16,1052959.91,463210.56,2919,43.99
2023-04-14,1146232.05,1038202.77,453584.96,3030,43.69
2023-04-15,1279614.06,1150876.73,507191.90,3072,44.07
2023-04-16,1198025.70,1089604.00,488190.90,3043,44.80
2023-04-17,1158064.22,1041512.71,447180.06,2926,42.94
2023-04-18,1158248.35,1046917.58,454418.78,2931,43.41
2023-04-19,1052148.22,948546.79,406865.83,2841,42.89
2023-04-20,1267495.45,1157749.99,517157.35,3122,44.67
2023-04-21,1202663.80,1088636.25,470202.41,2962,43.19
2023-04-22,1111145.11,1006045.21,431709.47,2839,42.91
2023-04-23,1093680.54,988181.54,429795.55,2796,43.49
2023-04-24,1120913.29,1013054.13,435057.77,2969,42.95
2023-04-25,1108525.48,1013822.57,443368.81,2828,43.73
2023-04-26,1146068.81,1039659.75,445383.30,2954,42.84
2023-04-27,1091628.04,977948.64,410271.77,2794,41.95
2023-04-28,1212332.55,1103457.37,484302.35,3102,43.89
2023-04-29,1180140.38,1069896.80,461398.95,2860,43.13
2023-04-30,1179432.89,1070304.94,458101.97,3035,42.80
2023-05-01,1112212.83,1003014.08,435988.69,2977,43.47
2023-05-02,1166698.91,1061538.57,463678.49,3005,43.68
2023-05-03,1154480.28,1046795.75,472865.05,2936,45.17
2023-05-04,1217771.97,1114057.67,493667.99,3052,44.31
2023-05-05,1178753.24,1067121.99,482330.19,2986,45.20
2023-05-06,1134902.36,1037355.72,457881.73,2797,44.14
2023-05-07,1106387.66,996503.05,420387.94,2918,42.19
2023-05-08,1226716.37,1108518.78,480773.24,3154,43.37
2023-05-09,1151310.49,1048685.60,462736.19,2938,44.13
2023-05-10,1082176.09,972213.70,419912.68,2825,43.19
2023-05-11,1147384.24,1050996.25,468064.63,2963,44.54
2023-05-12,1162551.95,1052921.00,457694.95,3034,43.47
2023-05-13,1191541.56,1077186.60,469007.98,3138,43.54
2023-05-14,1159395.84,1050919.00,453933.41,3003,43.19
2023-05-15,1176375.54,1066363.06,477690.17,2974,44.80
2023-05-16,1241101.10,1124694.46,494330.32,3139,43.95
2023-05-17,1194308.33,1082333.01,470735.05,3134,43.49
2023-05-18,1148280.94,1040359.15,455047.82,2895,43.74
2023-05-19,1260767.81,1140465.66,490967.09,3143,43.05
2023-05-20,1192593.91,1076716.89,484408.37,3054,44.99
2023-05-21,1167097.19,1055064.38,466750.40,2967,44.24
2023-05-22,1168640.86,1050375.78,439144.20,2968,41.81
2023-05-23,1223578.67,1106127.57,484293.04,3061,43.78
2023-05-24,1187731.95,1072287.23,456169.45,3071,42.54
2023-05-25,1273069.01,1157264.17,502295.29,3273,43.40
2023-05-26,1026829.12,933127.69,414380.41,2564,44.41
2023-05-27,1116845.64,1009445.84,436768.18,2845,43.27
2023-05-28,1102939.16,1001829.63,447019.71,2805,44.62
2023-05-29,1142693.85,1040248.96,449866.13,3048,43.25
2023-05-30,1079391.26,978514.19,435939.57,2666,44.55
2023-05-31,1106069.87,993255.67,422966.95,2774,42.58
2023-06-01,1148635.29,1037679.89,463486.01,2976,44.67
2023-06-02,1166125.49,1059947.17,477553.42,2873,45.05
2023-06-03,1095939.50,994599.16,437255.44,2761,43.96
2023-06-04,1095739.15,989990.99,419910.49,2790,42.42
2023-06-05,1105259.25,1001412.32,438612.03,2796,43.80
2023-06-06,1186471.50,1083919.93,484007.98,3060,44.65
2023-06-07,1070653.63,971370.84,415916.35,2798,42.82
2023-06-08,1057382.71,953698.27,406925.73,2789,42.67
2023-06-09,1096502.08,994919.67,431226.07,2858,43.34
2023-06-10,1173839.05,1065576.69,472017.19,2973,44.30
2023-06-11,1098901.50,999470.14,435966.99,2771,43.62
2023-06-12,1191915.70,1088290.29,476531.29,3034,43.79
2023-06-13,1172448.10,1065234.11,460709.85,3002,43.25
2023-06-14,1095034.55,988448.00,428348.09,2892,43.34
2023-06-15,1171188.88,1056899.34,468340.02,2944,44.31
2023-06-16,1132518.87,1020424.92,447755.65,2906,43.88
2023-06-17,1175633.20,1075172.12,470207.17,3028,43.73
2023-06-18,1109879.55,1008235.01,440524.75,2900,43.69
2023-06-19,1050383.49,950984.08,405734.47,2764,42.66
2023-06-20,1173362.66,1070192.60,470398.28,3060,43.95
2023-06-21,1232786.62,1116805.08,486482.09,3009,43.56
2023-06-22,1090103.41,994450.52,443436.24,2848,44.59
2023-06-23,1135027.74,1035202.05,451073.19,2935,43.57
2023-06-24,1048433.73,952015.34,417133.82,2854,43.82
2023-06-25,1079576.32,979328.35,422406.26,2860,43.13
2023-06-26,1104489.74,1004467.26,441690.54,2819,43.97
2023-06-27,1051255.29,961405.42,427129.29,2768,44.43
2023-06-28,1119305.12,1011272.81,447837.84,2904,44.28
2023-06-29,1200481.05,1095209.52,479977.94,3086,43.83
2023-06-30,1211044.97,1101962.37,486256.65,3019,44.13
2023-07-01,1179891.27,1068335.61,460010.54,2980,43.06
2023-07-02,1127014.15,1022140.90,437806.36,2969,42.83
2023-07-03,1174986.86,1075913.64,481759.56,2971,44.78
2023-07-04,1103171.90,1006468.18,446025.83,2906,44.32
2023-07-05,1172972.98,1068947.74,476576.25,2899,44.58
2023-07-06,1215309.25,1112486.26,496908.17,3086,44.67
2023-07-07,1093321.71,989561.95,429457.66,2809,43.40
2023-07-08,1145990.66,1036014.99,447369.12,3063,43.18
2023-07-09,1132019.48,1026809.26,447982.74,2893,43.63
2023-07-10,1212494.07,1103977.43,488582.26,3085,44.26
2023-07-11,1115176.98,1010717.79,437908.16,2858,43.33
2023-07-12,1137015.53,1036069.85,465635.84,2901,44.94
2023-07-13,1142713.02,1043929.02,453817.87,2923,43.47
2023-07-14,1122202.77,1011898.11,433689.63,2765,42.86
2023-07-15,1145769.27,1035565.54,445384.46,2961,43.01
2023-07-16,1118064.98,1008263.57,439860.39,2864,43.63
2023-07-17,1232176.54,1117577.28,486092.22,3079,43.50
2023-07-18,1031049.68,927532.06,399183.92,2691,43.04
2023-07-19,1132421.67,1021531.60,448306.75,2912,43.89
2023-07-20,1103688.37,998724.36,426822.32,2843,42.74
2023-07-21,1111408.60,1011248.13,447015.28,2951,44.20
2023-07-22,1055456.34,967617.97,424799.48,2738,43.90
2023-07-23,1102725.02,998471.83,431787.34,2838,43.24
2023-07-24,1191699.29,1066929.96,462336.88,2945,43.33
2023-07-25,1170452.24,1061851.82,461795.39,2953,43.49
2023-07-26,1176876.05,1062988.54,459167.64,3011,43.20
2023-07-27,1099436.13,1003325.54,440093.93,2890,43.86
2023-07-28,1206450.65,1091639.28,466294.77,3091,42.72
2023-07-29,1109881.85,1001993.75,432246.39,2873,43.14
2023-07-30,1059529.26,964307.79,424676.16,2762,44.04
2023-07-31,1148763.13,1042200.69,451566.38,2958,43.33
2023-08-01,1091342.28,995209.52,434547.72,2680,43.66
2023-08-02,1096897.84,995340.10,433262.44,2889,43.53
2023-08-03,1149228.07,1036034.90,442184.07,2983,42.68
2023-08-04,1082611.24,974302.92,403252.37,2723,41.39
2023-08-05,1107465.31,1007605.87,443598.13,2862,44.02
2023-08-06,1181055.89,1075175.30,477177.22,2975,44.38
2023-08-07,1149093.63,1046766.36,460818.06,2953,44.02
2023-08-08,1118421.67,1000173.05,433113.75,2902,43.30
2023-08-09,1132172.48,1023172.37,445558.26,2917,43.55
2023-08-10,1123957.19,1019222.74,443200.88,2862,43.48
2023-08-11,1189342.19,1085585.54,487836.66,2947,44.94
2023-08-12,1043280.56,945729.13,416223.82,2716,44.01
2023-08-13,1139544.08,1035227.88,470487.34,2950,45.45
2023-08-14,1137832.44,1028807.27,447345.02,2887,43.48
2023-08-15,1116739.41,1007863.73,448487.62,2854,44.50
2023-08-16,1164882.76,1059352.60,461798.33,2866,43.59
2023-08-17,1163613.98,1050556.29,461798.22,2990,43.96
2023-08-18,1153435.94,1037086.60,446186.98,2936,43.02
2023-08-19,1124532.65,1016389.44,441160.90,2867,43.40
2023-08-20,1064115.58,963808.01,406944.61,2818,42.22
2023-08-21,1154808.60,1046525.86,441904.01,2966,42.23
2023-08-22,1135394.69,1032436.73,444745.85,2841,43.08
2023-08-23,1154793.82,1045774.82,462320.93,2977,44.21
2023-08-24,1167226.04,1057070.94,452370.00,3004,42.79
2023-08-25,1142906.43,1038684.38,452042.41,3080,43.52
2023-08-26,1114116.24,1002859.23,429314.30,2855,42.81
2023-08-27,1145808.77,1042719.37,461457.38,2910,44.26
2023-08-28,1116336.26,1023598.20,459698.43,2829,44.91
2023-08-29,1214827.94,1107158.87,483016.84,3100,43.63
2023-08-30,1125947.86,1021895.91,441831.12,2970,43.24
2023-08-31,1118484.40,1010832.90,429734.47,2876,42.51
2023-09-01,1198170.19,1090580.49,480791.80,2992,44.09
2023-09-02,1099868.67,998092.08,430790.47,2834,43.16
2023-09-03,1132907.70,1028730.50,449144.72,2987,43.66
2023-09-04,1152440.21,1040999.37,452245.50,2986,43.44
2023-09-05,1088454.20,982592.53,428532.21,2831,43.61
2023-09-06,1153103.66,1045039.66,458783.55,2868,43.90
2023-09-07,1135658.74,1022102.34,449152.04,2822,43.94
2023-09-08,1305564.29,1175819.00,514517.47,3322,43.76
2023-09-09,1135202.58,1027614.17,450442.52,3003,43.83
2023-09-10,1203847.45,1083955.74,477660.77,2952,44.07
2023-09-11,1149987.26,1042014.63,446864.94,2989,42.88
2023-09-12,1137415.82,1025351.68,440858.11,3001,43.00
2023-09-13,1202418.80,1095423.73,492924.43,3038,45.00
2023-09-14,1098018.37,993869.83,434989.43,2876,43.77
2023-09-15,1056545.81,962518.56,428762.30,2748,44.55
2023-09-16,1093955.81,992899.33,435171.80,2808,43.83
2023-09-17,1196629.81,1079730.74,468764.12,2975,43.41
2023-09-18,1131755.46,1020245.28,433576.13,2909,42.50
2023-09-19,1114432.44,1004882.52,432595.02,2891,43.05
2023-09-20,1104828.05,1000968.19,428599.52,2782,42.82
2023-09-21,1177790.60,1056969.82,452929.20,3056,42.85
2023-09-22,1212243.16,1099361.83,478963.54,3014,43.57
2023-09-23,1061485.95,961096.19,410648.95,2884,42.73
2023-09-24,1076785.09,981113.59,421330.04,2756,42.94
2023-09-25,1201936.92,1094542.66,489352.61,3000,44.71
2023-09-26,1128416.69,1022126.20,447230.18,2874,43.75
2023-09-27,1222200.88,1107652.79,496861.19,3025,44.86
2023-09-28,1129643.87,1024587.04,451980.54,2875,44.11
2023-09-29,1091608.45,982105.32,419397.14,2941,42.70
2023-09-30,1073196.15,977837.46,429219.35,2745,43.89
2023-10-01,1130319.10,1017572.02,440734.62,2956,43.31
2023-10-02,1133218.14,1035892.67,454959.44,2819,43.92
2023-10-03,1139754.23,1032153.80,443591.14,2921,42.98
2023-10-04,1190947.51,1077565.41,479432.22,3014,44.49
2023-10-05,1058747.73,961684.46,410461.84,2822,42.68
2023-10-06,1224314.39,1121650.18,497649.17,3055,44.37
2023-10-07,1167402.85,1051844.71,447532.60,2990,42.55
2023-10-08,1073247.59,971415.15,414351.57,2860,42.65
2023-10-09,1120198.27,1012088.02,444574.34,2905,43.93
2023-10-10,1146877.73,1035481.78,455878.91,2862,44.03
2023-10-11,1018864.60,920416.29,400190.53,2719,43.48
2023-10-12,1125252.53,1023141.70,447578.02,2874,43.75
2023-10-13,1180533.29,1079447.98,479809.96,3000,44.45
2023-10-14,1079387.35,989777.83,431231.32,2748,43.57
2023-10-15,1098097.10,995557.29,433156.10,2827,43.51
2023-10-16,1064889.68,967753.50,430053.26,2688,44.44
2023-10-17,1106086.36,996116.55,422787.01,2857,42.44
2023-10-18,1167932.11,1064079.02,476645.18,2974,44.79
2023-10-19,1092736.21,986026.95,424954.00,2872,43.10
2023-10-20,1158211.50,1051347.24,450785.27,2933,42.88
2023-10-21,1162875.72,1052714.84,462535.17,3007,43.94
2023-10-22,1089310.00,994349.73,446379.48,2815,44.89
2023-10-23,1140377.84,1037217.86,463203.35,2846,44.66
2023-10-24,1233732.36,1121855.46,483768.94,3135,43.12
2023-10-25,1111901.75,1007305.19,442544.81,2888,43.93
2023-10-26,1156436.73,1040808.95,457645.07,2989,43.97
2023-10-27,1148629.74,1037394.21,442169.04,3018,42.62
2023-10-28,1178872.81,1076610.12,470870.60,3053,43.74
2023-10-29,1194566.93,1082805.28,466386.56,3079,43.07
2023-10-30,1186821.67,1076554.98,476841.00,3009,44.29
2023-10-31,1100710.85,1002040.52,438706.42,2729,43.78
2023-11-01,1125391.12,1014123.26,453270.66,2814,44.70
2023-11-02,1089469.54,980310.39,416903.39,2862,42.53
2023-11-03,1194992.49,1079346.21,478364.94,3002,44.32
2023-11-04,1071441.40,973865.13,424650.61,2783,43.60
2023-11-05,1052751.79,962056.55,415441.39,2756,43.18
2023-11-06,1127927.77,1016373.41,430056.80,2897,42.31
2023-11-07,1110529.11,1007766.94,435981.42,2875,43.26
2023-11-08,1043725.60,942363.90,410133.78,2699,43.52
2023-11-09,1109307.33,1002714.74,451244.42,2765,45.00
2023-11-10,1153240.13,1045187.71,452096.26,2928,43.26
2023-11-11,1292949.44,1173281.10,513077.47,3162,43.73
2023-11-12,1125407.02,1019619.15,440631.16,2898,43.22
2023-11-13,1178290.50,1068015.55,469890.55,2985,44.00
2023-11-14,1149686.38,1050787.28,461085.89,2923,43.88
2023-11-15,1169355.90,1052278.32,456321.71,3011,43.37
2023-11-16,1160698.32,1047834.82,462440.18,2888,44.13
2023-11-17,1107971.56,1002668.61,427208.16,2818,42.61
2023-11-18,1141095.98,1034245.36,457871.83,2800,44.27
2023-11-19,1113841.23,1017133.14,455434.89,2795,44.78
2023-11-20,1071483.39,970922.76,428089.41,2831,44.09
2023-11-21,1206007.97,1087135.59,473373.38,3123,43.54
2023-11-22,1125531.04,1018771.80,438660.54,2925,43.06
2023-11-23,1131734.36,1028001.91,451199.97,2889,43.89
2023-11-24,1074219.27,974024.36,423319.33,2813,43.46
2023-11-25,1072428.52,968751.91,425871.71,2721,43.96
2023-11-26,1174052.12,1062861.76,465695.09,2917,43.82
2023-11-27,1166378.93,1059896.79,465945.23,2978,43.96
2023-11-28,1262366.07,1137130.87,491325.30,3252,43.21
2023-11-29,1098745.35,995530.43,436348.96,2704,43.83
2023-11-30,1174940.36,1071003.17,457975.00,3062,42.76
2023-12-01,1167570.56,1071252.00,479947.56,2976,44.80
2023-12-02,1172280.77,1064558.54,462358.55,3019,43.43
2023-12-03,1084617.51,982362.23,424575.59,2923,43.22
2023-12-04,1066694.38,965255.37,423209.80,2725,43.84
2023-12-05,1279563.38,1153404.76,500122.96,3120,43.36
2023-12-06,1233821.75,1116961.45,499725.31,3114,44.74
2023-12-07,1158022.47,1048182.63,454254.72,3026,43.34
2023-12-08,1248313.58,1127178.22,495147.62,3181,43.93
2023-12-09,1200997.17,1080996.92,473932.17,2979,43.84
2023-12-10,1140942.22,1032360.71,452285.08,2873,43.81
2023-12-11,1142474.98,1038442.51,455403.42,2854,43.85
2023-12-12,1248605.47,1135699.73,502597.07,3150,44.25
2023-12-13,1088475.47,991546.56,433422.06,2764,43.71
2023-12-14,1147874.70,1041762.87,453005.51,2901,43.48
2023-12-15,1199479.92,1093840.82,481383.89,3025,44.01
2023-12-16,1186860.04,1072222.14,470374.71,3044,43.87
2023-12-17,1154325.75,1037024.56,442425.59,2976,42.66
2023-12-18,1121308.47,1016071.59,443621.46,2941,43.66
2023-12-19,1064243.38,975474.34,430291.05,2743,44.11
2023-12-20,995879.36,910324.57,391305.84,2695,42.99
2023-12-21,1125289.92,1020205.07,444428.80,2924,43.56
2023-12-22,1059004.64,954168.20,416952.36,2748,43.70
2023-12-23,1160720.04,1053107.63,458438.89,2953,43.53
2023-12-24,1132670.95,1033194.16,458068.04,2846,44.34
2023-12-25,1179709.63,1072796.63,471490.66,2921,43.95
2023-12-26,1107005.99,1006811.19,445228.09,2865,44.22
2023-12-27,1117556.20,1006412.66,430339.39,2935,42.76
2023-12-28,1262335.33,1151242.89,506074.49,3104,43.96
2023-12-29,1064031.11,961534.07,417928.76,2766,43.46
2023-12-30,1168406.24,1055931.21,469237.19,2952,44.44
2023-12-31,1179367.57,1059951.06,472857.41,2846,44.61
2024-01-01,1112446.95,1005024.91,433626.35,2944,43.15
2024-01-02,1095277.67,993295.03,433235.31,2926,43.62
2024-01-03,1142760.85,1037421.35,457994.98,2992,44.15
2024-01-04,1199579.22,1084962.60,462864.35,3041,42.66
2024-01-05,1114137.76,1005251.66,437999.98,2901,43.57
2024-01-06,1179782.80,1072257.86,463870.10,2999,43.26
2024-01-07,1095356.02,999226.00,439485.45,2839,43.98
2024-01-08,1108533.84,1008132.21,447535.15,2903,44.39
2024-01-09,1138793.33,1025955.86,449668.48,2843,43.83
2024-01-10,1175178.25,1060118.46,461714.59,2882,43.55
2024-01-11,1143393.47,1042191.48,463607.37,2949,44.48
2024-01-12,1200835.66,1077940.93,462652.33,2942,42.92
2024-01-13,1132041.59,1021169.72,434200.85,2998,42.52
2024-01-14,1121465.43,1016257.99,453265.22,2906,44.60
2024-01-15,1093664.41,998282.00,438517.25,2819,43.93
2024-01-16,1168430.66,1060288.17,455939.31,3030,43.00
2024-01-17,1204927.06,1099259.37,476275.68,3062,43.33
2024-01-18,1115814.57,1008451.78,424391.69,2925,42.08
2024-01-19,1138843.11,1031689.47,448462.90,2906,43.47
2024-01-20,1192170.73,1084596.38,467658.70,3003,43.12
2024-01-21,1227376.79,1116356.93,491031.59,3018,43.99
2024-01-22,1093733.31,987101.24,428566.75,2913,43.42
2024-01-23,1136993.95,1035870.93,451668.86,3007,43.60
2024-01-24,1216019.11,1105231.84,485220.08,3096,43.90
2024-01-25,1158771.08,1042404.54,450702.65,2978,43.24
2024-01-26,1108991.75,995993.85,431866.70,2842,43.36
2024-01-27,1124506.82,1016355.01,431531.26,2807,42.46
2024-01-28,1176832.57,1061488.52,472203.46,3021,44.49
2024-01-29,1165125.76,1052655.45,462653.79,3069,43.95
2024-01-30,1080509.45,972724.27,417916.82,2836,42.96
2024-01-31,1111425.25,1017685.86,459687.56,2838,45.17
2024-02-01,1042706.81,944273.53,411076.68,2748,43.53
2024-02-02,1165729.95,1063921.98,470015.66,2949,44.18
2024-02-03,1160343.84,1061756.69,468205.39,3048,44.10
2024-02-04,1169892.54,1056324.06,467594.57,2983,44.27
2024-02-05,1194589.48,1079504.00,468431.68,3041,43.39
2024-02-06,1180731.65,1073316.96,475936.75,3000,44.34
2024-02-07,1070169.28,972856.89,421397.33,2750,43.32
2024-02-08,1188000.31,1082212.42,471548.92,3036,43.57
2024-02-09,1187944.45,1082099.83,465422.66,3126,43.01
2024-02-10,1113393.23,1014582.03,443069.36,2870,43.67
2024-02-11,1230592.71,1118203.47,488941.59,3084,43.73
2024-02-12,1130601.53,1021312.97,449811.86,2933,44.04
2024-02-13,1197144.35,1081174.20,474565.61,3062,43.89
2024-02-14,1149347.94,1040742.75,452131.00,3035,43.44
2024-02-15,1179833.29,1081593.55,476450.16,2908,44.05
2024-02-16,1162675.86,1059142.12,464530.24,2828,43.86
2024-02-17,1237938.68,1126796.32,500007.11,3109,44.37
2024-02-18,1143187.77,1029386.89,446757.16,2974,43.40
2024-02-19,1189555.27,1079951.37,445021.44,3073,41.21
2024-02-20,1124572.74,1020719.70,446690.13,2995,43.76
2024-02-21,1190511.45,1089567.85,482706.76,2996,44.30
2024-02-22,1098438.09,1000602.79,444493.37,2832,44.42
2024-02-23,1157696.14,1040303.99,441280.77,3004,42.42
2024-02-24,1215610.14,1092708.39,476192.78,2982,43.58
2024-02-25,1146933.77,1034908.86,449511.40,2954,43.43
2024-02-26,1075224.64,980040.85,430783.34,2766,43.96
2024-02-27,1118201.77,1016244.85,443610.72,2872,43.65
2024-02-28,1176580.24,1068382.56,458560.43,2998,42.92
2024-02-29,1176101.36,1067761.07,462073.96,3034,43.28
2024-03-01,1087651.57,983159.15,413789.92,2859,42.09
2024-03-02,1103214.36,998546.76,432567.83,2809,43.32
2024-03-03,1080476.68,977441.57,437851.65,2715,44.80
2024-03-04,1163656.51,1053879.32,461530.06,2950,43.79
2024-03-05,1122722.94,1017757.40,448889.12,2749,44.11
2024-03-06,1101404.33,997235.91,432155.28,2836,43.34
2024-03-07,1137452.84,1034918.52,458320.68,2922,44.29
2024-03-08,1224970.62,1116641.38,493677.05,3069,44.21
2024-03-09,1149002.94,1039167.54,452028.96,2941,43.50
2024-03-10,1197016.73,1082455.91,460337.19,3108,42.53
2024-03-11,1151995.73,1039934.31,460691.56,2927,44.30
2024-03-12,1168184.20,1057239.80,453557.10,3017,42.90
2024-03-13,1196165.27,1086433.93,464423.25,3096,42.75
2024-03-14,976701.66,885046.65,371594.50,2630,41.99
2024-03-15,1191250.01,1076346.67,467360.24,2992,43.42
2024-03-16,1163039.83,1056194.53,461141.17,3052,43.66
2024-03-17,1152941.57,1034938.96,449855.42,2996,43.47
2024-03-18,1107359.74,1010697.99,453448.88,2814,44.86
2024-03-19,1097892.28,991985.95,427307.71,2839,43.08
2024-03-20,1131035.39,1023735.92,443871.08,2897,43.36
2024-03-21,1044893.93,950076.50,417214.36,2720,43.91
2024-03-22,1199712.73,1090703.62,483105.07,3037,44.29
2024-03-23,1193805.89,1085008.03,471993.60,3068,43.50
2024-03-24,1122964.56,1017517.24,437330.30,2980,42.98
2024-03-25,1232112.49,1112688.95,476651.45,3064,42.84
2024-03-26,1123860.43,1024186.95,447689.94,2872,43.71
2024-03-27,1158624.45,1055077.56,467024.99,2956,44.26
