product_id,product_name,category_id,category_name,unit_cost,unit_price
P00082,Mini Coffee 82,CAT00011,Home Appliances,222.78,501.6
P00083,Classic Shirt 83,CAT00003,Books,199.94,538.69
P00084,Smart Desk 84,CAT00002,Beauty,17.93,30.03
P00085,Prime Puzzle 85,CAT00017,Sports,139.2,362.67
P00086,Plus Cream 86,CAT00018,Toys,326.49,808.57
P00087,Basic Shirt 87,CAT00004,Clothing,348.29,691.88
P00088,Pro Mixer 88,CAT00016,Shoes,298.11,741.36
P00089,Smart Shirt 89,CAT00009,Grocery,47.08,58.83
P00090,Basic Shirt 90,CAT00014,Office,18.52,40.15
P00091,Prime Notebook 91,CAT00008,Garden,67.36,169.69
P00092,Eco Notebook 92,CAT00000,Automotive,132.73,337.15
P00093,Basic Cream 93,CAT00010,Health,116.63,178.97
P00094,Max Desk 94,CAT00012,Jewelry,133.61,208.95
P00095,Max Puzzle 95,CAT00013,Music,207.16,565.41
P00096,Classic Headphones 96,CAT00015,Pets,149.76,341.76
P00097,Eco Desk 97,CAT00001,Baby,35.63,77.14
P00098,Plus Shirt 98,CAT00019,Travel,18.48,50.59
P00099,Plus Puzzle 99,CAT00007,Gaming,26.79,45.95
P00100,Prime Headphones 100,CAT00006,Furniture,18.93,39.17
P00101,Smart Coffee 101,CAT00005,Electronics,256.43,356.86
P00102,Basic Puzzle 102,CAT00011,Home Appliances,58.09,68.84
P00103,Nova Ball 103,CAT00003,Books,327.2,674.75
P00104,Mini Desk 104,CAT00002,Beauty,185.86,431.35
P00105,Pro Puzzle 105,CAT00017,Sports,150.03,375.07
P00106,Eco Headphones 106,CAT00018,Toys,321.72,376.97
P00107,Smart Coffee 107,CAT00004,Clothing,286.7,387.25
P00108,Smart Shirt 108,CAT00016,Shoes,359.95,495.27
P00109,Max Headphones 109,CAT00009,Grocery,112.97,246.33
P00110,Prime Sneakers 110,CAT00014,Office,158.2,278.01
P00111,Basic Cream 111,CAT00008,Garden,155.52,295.18
P00112,Basic Puzzle 112,CAT00000,Automotive,340.55,706.63
P00113,Mini Coffee 113,CAT00010,Health,187.79,369.98
P00114,Prime Shirt 114,CAT00012,Jewelry,308.99,847.84
P00115,Prime Desk 115,CAT00013,Music,25.03,62.93
P00116,Prime Desk 116,CAT00015,Pets,182.76,477.18
P00117,Mini Sneakers 117,CAT00001,Baby,76.17,211.2
P00118,Classic Notebook 118,CAT00019,Travel,123.09,220.66
P00119,Max Coffee 119,CAT00007,Gaming,82.15,102.14
P00120,Pro Cream 120,CAT00006,Furniture,105.07,128.77
P00121,Classic Puzzle 121,CAT00005,Electronics,268.82,442.77
P00122,Max Shirt 122,CAT00011,Home Appliances,171.69,431.29
P00123,Pro Mixer 123,CAT00003,Books,125.88,338.14
P00124,Plus Coffee 124,CAT00002,Beauty,200.91,367.89
P00125,Classic Cream 125,CAT00017,Sports,248.17,471.89
P00126,Plus Puzzle 126,CAT00018,Toys,213.24,527.92
P00127,Max Coffee 127,CAT00004,Clothing,116.97,270.98
P00128,Mini Coffee 128,CAT00016,Shoes,136.7,209.32
P00129,Max Sneakers 129,CAT00009,Grocery,52.81,102.47
P00130,Pro Ball 130,CAT00014,Office,335.8,760.51
P00131,Pro Shirt 131,CAT00008,Garden,34.95,77.2
P00132,Basic Ball 132,CAT00000,Automotive,44.07,89.37
P00133,Eco Shirt 133,CAT00010,Health,341.92,713.88
P00134,Classic Puzzle 134,CAT00012,Jewelry,77.68,135.96
P00135,Plus Mixer 135,CAT00013,Music,318.36,542.98
P00136,Pro Cream 136,CAT00015,Pets,370.35,893.67
P00137,Plus Shirt 137,CAT00001,Baby,361.5,491.41
P00138,Classic Ball 138,CAT00019,Travel,388.44,982.53
P00139,Prime Mixer 139,CAT00007,Gaming,149.35,256.99
P00140,Prime Sneakers 140,CAT00006,Furniture,245.7,525.65
P00141,Pro Desk 141,CAT00005,Electronics,166.04,422.45
P00142,Nova Headphones 142,CAT00011,Home Appliances,364.26,863.13
P00143,Classic Cream 143,CAT00003,Books,280.13,530.49
P00144,Prime Mixer 144,CAT00002,Beauty,344.65,540.96
P00145,Prime Headphones 145,CAT00017,Sports,196.35,266.58
P00146,Max Cream 146,CAT00018,Toys,343.18,874.03
P00147,Prime Puzzle 147,CAT00004,Clothing,333.65,444.33
P00148,Max Coffee 148,CAT00016,Shoes,122.39,210.51
P00149,Basic Puzzle 149,CAT00009,Grocery,279.64,403.61
P00150,Smart Ball 150,CAT00014,Office,326.14,480.8
P00151,Prime Coffee 151,CAT00008,Garden,396.9,465.8
P00152,Basic Desk 152,CAT00000,Automotive,330.94,403.55
P00153,Plus Puzzle 153,CAT00010,Health,369.08,590.34
P00154,Eco Puzzle 154,CAT00012,Jewelry,130.12,324.57
P00155,Plus Cream 155,CAT00013,Music,252.23,303.31
P00156,Nova Shirt 156,CAT00015,Pets,184.17,381.04
P00157,Smart Puzzle 157,CAT00001,Baby,225.98,442.33
P00158,Prime Coffee 158,CAT00019,Travel,21.38,31.49
P00159,Max Notebook 159,CAT00007,Gaming,385.34,468.39
P00160,Nova Coffee 160,CAT00006,Furniture,334.31,436.72
P00161,Nova Puzzle 161,CAT00005,Electronics,327.64,748.18
P00162,Nova Coffee 162,CAT00011,Home Appliances,208.87,309.83
P00163,Basic Shirt 163,CAT00003,Books,18.64,34.68
P00164,Max Puzzle 164,CAT00002,Beauty,264.63,701.39
P00165,Nova Desk 165,CAT00017,Sports,232.6,637.33
P00166,Nova Notebook 166,CAT00018,Toys,222.57,536.63
P00167,Prime Cream 167,CAT00004,Clothing,239.27,457.81
P00168,Nova Shirt 168,CAT00016,Shoes,170.28,243.7
P00169,Plus Cream 169,CAT00009,Grocery,233.72,392.58
P00170,Smart Puzzle 170,CAT00014,Office,278.29,603.83
P00171,Classic Ball 171,CAT00008,Garden,303.57,643.09
P00172,Max Cream 172,CAT00000,Automotive,255.92,403.54
P00173,Max Sneakers 173,CAT00010,Health,70.99,167.61
P00174,Plus Puzzle 174,CAT00012,Jewelry,56.19,69.75
P00175,Smart Sneakers 175,CAT00013,Music,258.3,449.81
P00176,Nova Coffee 176,CAT00015,Pets,271.52,372.77
P00177,Eco Shirt 177,CAT00001,Baby,121.13,229.27
P00178,Max Puzzle 178,CAT00019,Travel,87.79,103.15
P00179,Pro Puzzle 179,CAT00007,Gaming,78.04,192.56
P00180,Plus Coffee 180,CAT00006,Furniture,366.97,527.06
P00181,Nova Puzzle 181,CAT00005,Electronics,388.81,795.0
P00182,Eco Cream 182,CAT00011,Home Appliances,349.26,822.32
P00183,Smart Coffee 183,CAT00003,Books,390.95,782.56
P00184,Basic Sneakers 184,CAT00002,Beauty,129.67,278.47
P00185,Classic Mixer 185,CAT00017,Sports,266.46,434.87
P00186,Classic Headphones 186,CAT00018,Toys,163.2,421.84
P00187,Basic Shirt 187,CAT00004,Clothing,144.89,318.21
P00188,Mini Puzzle 188,CAT00016,Shoes,21.37,36.15
P00189,Basic Notebook 189,CAT00009,Grocery,261.49,410.24
P00190,Max Coffee 190,CAT00014,Office,260.09,530.99
P00191,Classic Notebook 191,CAT00008,Garden,121.31,242.46
P00192,Max Shirt 192,CAT00000,Automotive,226.79,307.74
P00193,Max Mixer 193,CAT00010,Health,263.86,493.43
P00194,Eco Coffee 194,CAT00012,Jewelry,44.4,115.98
P00195,Prime Sneakers 195,CAT00013,Music,201.28,495.46
P00196,Basic Sneakers 196,CAT00015,Pets,123.58,287.37
P00197,Nova Puzzle 197,CAT00001,Baby,174.84,249.41
P00198,Smart Puzzle 198,CAT00019,Travel,345.04,899.9
P00199,Mini Headphones 199,CAT00007,Gaming,297.76,746.34
P00200,Plus Headphones 200,CAT00006,Furniture,258.18,676.84
P00201,Prime Notebook 201,CAT00005,Electronics,162.81,426.39
P00202,Eco Ball 202,CAT00011,Home Appliances,190.62,431.24
P00203,Smart Desk 203,CAT00003,Books,140.57,251.88
P00204,Prime Sneakers 204,CAT00002,Beauty,184.44,355.83
P00205,Max Ball 205,CAT00017,Sports,276.44,597.66
P00206,Basic Shirt 206,CAT00018,Toys,241.09,589.63
P00207,Basic Headphones 207,CAT00004,Clothing,326.51,909.62
P00208,Nova Coffee 208,CAT00016,Shoes,197.32,499.09
P00209,Max Coffee 209,CAT00009,Grocery,191.87,459.46
P00210,Basic Sneakers 210,CAT00014,Office,72.76,173.26
P00211,Max Cream 211,CAT00008,Garden,327.13,381.27
P00212,Smart Puzzle 212,CAT00000,Automotive,203.94,292.16
P00213,Basic Sneakers 213,CAT00010,Health,312.76,515.89
P00214,Nova Cream 214,CAT00012,Jewelry,95.86,187.81
P00215,Mini Puzzle 215,CAT00013,Music,73.52,87.63
P00216,Eco Shirt 216,CAT00015,Pets,260.19,440.09
P00217,Max Sneakers 217,CAT00001,Baby,105.85,160.48
P00218,Plus Sneakers 218,CAT00019,Travel,224.03,624.54
P00219,Plus Desk 219,CAT00007,Gaming,200.27,370.32
P00220,Smart Cream 220,CAT00006,Furniture,113.15,271.39
P00221,Eco Ball 221,CAT00005,Electronics,159.84,202.3
P00222,Pro Coffee 222,CAT00011,Home Appliances,222.49,604.28
P00223,Eco Puzzle 223,CAT00003,Books,330.33,632.39
P00224,Smart Ball 224,CAT00002,Beauty,324.83,506.06
P00225,Eco Headphones 225,CAT00017,Sports,120.55,302.55
P00226,Mini Cream 226,CAT00018,Toys,358.48,818.98
P00227,Eco Shirt 227,CAT00004,Clothing,58.89,115.25
P00228,Basic Ball 228,CAT00016,Shoes,158.48,377.5
P00229,Nova Coffee 229,CAT00009,Grocery,310.04,785.58
P00230,Eco Puzzle 230,CAT00014,Office,255.77,608.45
P00231,Mini Coffee 231,CAT00008,Garden,38.07,103.26
P00232,Max Headphones 232,CAT00000,Automotive,42.82,119.85
P00233,Classic Sneakers 233,CAT00010,Health,288.51,681.33
P00234,Nova Headphones 234,CAT00012,Jewelry,327.65,447.27
P00235,Max Coffee 235,CAT00013,Music,226.41,613.19
P00236,Pro Puzzle 236,CAT00015,Pets,157.58,186.29
P00237,Classic Puzzle 237,CAT00001,Baby,143.02,216.44
P00238,Smart Cream 238,CAT00019,Travel,250.3,585.13
P00239,Plus Cream 239,CAT00007,Gaming,283.27,706.9
P00240,Classic Mixer 240,CAT00006,Furniture,231.53,472.09
P00241,Prime Sneakers 241,CAT00005,Electronics,207.74,325.11
P00242,Plus Puzzle 242,CAT00011,Home Appliances,233.24,393.81
P00243,Smart Desk 243,CAT00003,Books,137.29,377.72
P00244,Max Headphones 244,CAT00002,Beauty,189.21,312.06
P00245,Pro Shirt 245,CAT00017,Sports,346.68,922.26
P00246,Smart Shirt 246,CAT00018,Toys,392.4,1056.94
P00247,Plus Desk 247,CAT00004,Clothing,153.59,302.38
P00248,Mini Ball 248,CAT00016,Shoes,239.95,284.96
P00249,Max Sneakers 249,CAT00009,Grocery,309.04,808.45
P00250,Basic Coffee 250,CAT00014,Office,221.81,509.51
P00251,Eco Shirt 251,CAT00008,Garden,386.68,910.55
P00252,Smart Coffee 252,CAT00000,Automotive,180.03,388.9
P00253,Classic Notebook 253,CAT00010,Health,79.31,220.23
P00254,Max Desk 254,CAT00012,Jewelry,239.84,534.85
P00255,Classic Sneakers 255,CAT00013,Music,107.06,262.05
P00256,Basic Headphones 256,CAT00015,Pets,293.01,614.78
P00257,Nova Headphones 257,CAT00001,Baby,285.53,336.65
P00258,Basic Headphones 258,CAT00019,Travel,339.57,654.66
P00259,Classic Shirt 259,CAT00007,Gaming,149.43,334.22
P00260,Pro Puzzle 260,CAT00006,Furniture,232.98,402.89
P00261,Smart Desk 261,CAT00005,Electronics,216.51,315.09
P00262,Pro Ball 262,CAT00011,Home Appliances,241.76,348.55
P00263,Prime Sneakers 263,CAT00003,Books,89.73,152.9
P00264,Pro Desk 264,CAT00002,Beauty,281.41,612.86
P00265,Eco Mixer 265,CAT00017,Sports,398.58,866.09
P00266,Pro Puzzle 266,CAT00018,Toys,376.89,618.7
P00267,Eco Notebook 267,CAT00004,Clothing,260.43,311.3
P00268,Basic Headphones 268,CAT00016,Shoes,248.33,507.33
P00269,Smart Desk 269,CAT00009,Grocery,325.45,721.28
P00270,Max Headphones 270,CAT00014,Office,99.29,222.5
P00271,Prime Ball 271,CAT00008,Garden,136.82,320.74
P00272,Smart Coffee 272,CAT00000,Automotive,213.09,320.35
P00273,Nova Cream 273,CAT00010,Health,112.11,158.93
P00274,Nova Coffee 274,CAT00012,Jewelry,171.31,215.79
P00275,Mini Mixer 275,CAT00013,Music,9.96,27.06
P00276,Mini Headphones 276,CAT00015,Pets,20.34,24.03
P00277,Nova Shirt 277,CAT00001,Baby,22.67,27.89
P00278,Eco Puzzle 278,CAT00019,Travel,164.36,227.77
P00279,Mini Shirt 279,CAT00007,Gaming,295.19,674.12
P00280,Classic Cream 280,CAT00006,Furniture,161.54,357.81
P00281,Basic Puzzle 281,CAT00005,Electronics,55.09,127.69
P00282,Pro Ball 282,CAT00011,Home Appliances,148.9,364.51
P00283,Classic Headphones 283,CAT00003,Books,187.97,239.09
P00284,Prime Coffee 284,CAT00002,Beauty,21.3,39.57
P00285,Nova Ball 285,CAT00017,Sports,11.64,21.17
P00286,Plus Desk 286,CAT00018,Toys,31.38,72.28
P00287,Nova Shirt 287,CAT00004,Clothing,104.62,257.48
P00288,Smart Puzzle 288,CAT00016,Shoes,19.17,22.84
P00289,Classic Ball 289,CAT00009,Grocery,184.22,500.0
P00290,Nova Mixer 290,CAT00014,Office,160.58,216.38
P00291,Eco Puzzle 291,CAT00008,Garden,38.57,102.84
P00292,Eco Notebook 292,CAT00000,Automotive,98.79,275.22
P00293,Plus Sneakers 293,CAT00010,Health,336.86,704.05
P00294,Basic Headphones 294,CAT00012,Jewelry,58.86,141.09
P00295,Plus Notebook 295,CAT00013,Music,259.03,436.2
P00296,Smart Sneakers 296,CAT00015,Pets,276.49,703.33
P00297,Nova Puzzle 297,CAT00001,Baby,56.24,100.5
P00298,Classic Sneakers 298,CAT00019,Travel,336.48,475.55
P00299,Basic Desk 299,CAT00007,Gaming,20.33,50.31
P00300,Max Cream 300,CAT00006,Furniture,315.26,670.68
P00301,Plus Coffee 301,CAT00005,Electronics,243.45,527.52
P00302,Nova Shirt 302,CAT00011,Home Appliances,179.53,245.27
P00303,Max Ball 303,CAT00003,Books,21.36,45.56
P00304,Max Headphones 304,CAT00002,Beauty,16.34,31.81
P00305,Prime Shirt 305,CAT00017,Sports,391.21,851.28
P00306,Nova Headphones 306,CAT00018,Toys,78.17,180.82
P00307,Nova Notebook 307,CAT00004,Clothing,103.14,175.72
P00308,Plus Mixer 308,CAT00016,Shoes,387.27,448.11
P00309,Plus Cream 309,CAT00009,Grocery,393.7,934.52
P00310,Smart Coffee 310,CAT00014,Office,201.78,331.87
P00311,Pro Sneakers 311,CAT00008,Garden,87.8,245.35
P00312,Nova Mixer 312,CAT00000,Automotive,76.28,208.66
P00313,Pro Mixer 313,CAT00010,Health,81.26,160.74
P00314,Classic Puzzle 314,CAT00012,Jewelry,375.06,447.37
P00315,Basic Puzzle 315,CAT00013,Music,242.26,512.27
P00316,Basic Shirt 316,CAT00015,Pets,202.33,497.7
P00317,Classic Ball 317,CAT00001,Baby,187.67,340.34
P00318,Pro Ball 318,CAT00019,Travel,67.66,99.48
P00319,Basic Sneakers 319,CAT00007,Gaming,110.8,226.34
P00320,Pro Puzzle 320,CAT00006,Furniture,224.03,267.37
P00321,Classic Desk 321,CAT00005,Electronics,261.02,359.94
P00322,Eco Coffee 322,CAT00011,Home Appliances,264.59,333.64
P00323,Smart Puzzle 323,CAT00003,Books,60.71,132.55
P00324,Pro Ball 324,CAT00002,Beauty,265.69,392.33
P00325,Pro Sneakers 325,CAT00017,Sports,168.9,456.16
P00326,Eco Sneakers 326,CAT00018,Toys,67.56,99.81
P00327,Mini Shirt 327,CAT00004,Clothing,294.84,800.35
P00328,Classic Sneakers 328,CAT00016,Shoes,211.53,335.25
P00329,Eco Desk 329,CAT00009,Grocery,217.65,542.59
P00330,Plus Shirt 330,CAT00014,Office,29.9,63.27
P00331,Classic Coffee 331,CAT00008,Garden,24.75,35.69
P00332,Nova Notebook 332,CAT00000,Automotive,391.91,849.23
P00333,Smart Shirt 333,CAT00010,Health,339.25,667.08
P00334,Plus Desk 334,CAT00012,Jewelry,341.94,421.76
P00335,Prime Shirt 335,CAT00013,Music,134.04,309.67
P00336,Max Mixer 336,CAT00015,Pets,176.9,250.81
P00337,Nova Sneakers 337,CAT00001,Baby,266.29,458.7
P00338,Pro Puzzle 338,CAT00019,Travel,237.05,369.95
P00339,Max Sneakers 339,CAT00007,Gaming,357.41,586.63
P00340,Mini Mixer 340,CAT00006,Furniture,53.3,69.47
P00341,Prime Ball 341,CAT00005,Electronics,251.88,321.24
P00342,Pro Coffee 342,CAT00011,Home Appliances,189.24,448.09
P00343,Max Sneakers 343,CAT00003,Books,63.8,159.21
P00344,Pro Mixer 344,CAT00002,Beauty,216.3,340.99
P00345,Pro Notebook 345,CAT00017,Sports,377.52,887.44
P00346,Smart Puzzle 346,CAT00018,Toys,118.21,187.79
P00347,Classic Cream 347,CAT00004,Clothing,60.65,93.42
P00348,Basic Mixer 348,CAT00016,Shoes,134.84,361.1
P00349,Nova Sneakers 349,CAT00009,Grocery,323.12,774.01
P00350,Plus Notebook 350,CAT00014,Office,165.98,197.33
P00351,Max Notebook 351,CAT00008,Garden,191.99,271.92
P00352,Nova Desk 352,CAT00000,Automotive,256.47,527.87
P00353,Max Headphones 353,CAT00010,Health,273.14,584.02
P00354,Eco Shirt 354,CAT00012,Jewelry,14.36,36.18
P00355,Nova Headphones 355,CAT00013,Music,231.45,288.14
P00356,Basic Desk 356,CAT00015,Pets,157.9,309.83
P00357,Classic Shirt 357,CAT00001,Baby,323.67,832.68
P00358,Prime Puzzle 358,CAT00019,Travel,75.76,172.32
P00359,Basic Sneakers 359,CAT00007,Gaming,70.94,125.13
P00360,Max Ball 360,CAT00006,Furniture,81.88,149.71
P00361,Classic Sneakers 361,CAT00005,Electronics,273.95,375.35
P00362,Prime Notebook 362,CAT00011,Home Appliances,293.28,659.94
P00363,Plus Ball 363,CAT00003,Books,113.88,239.16
P00364,Prime Headphones 364,CAT00002,Beauty,132.49,368.18
P00365,Basic Shirt 365,CAT00017,Sports,259.92,432.66
P00366,Classic Notebook 366,CAT00018,Toys,320.6,753.55
P00367,Smart Headphones 367,CAT00004,Clothing,172.59,425.74
P00368,Basic Sneakers 368,CAT00016,Shoes,190.32,413.01
P00369,Pro Desk 369,CAT00009,Grocery,82.64,102.81
P00370,Max Puzzle 370,CAT00014,Office,394.39,608.3
P00371,Mini Desk 371,CAT00008,Garden,5.51,11.67
P00372,Plus Ball 372,CAT00000,Automotive,140.76,299.87
P00373,Pro Puzzle 373,CAT00010,Health,394.19,520.69
P00374,Max Headphones 374,CAT00012,Jewelry,34.93,62.7
P00375,Basic Cream 375,CAT00013,Music,228.29,358.53
P00376,Nova Notebook 376,CAT00015,Pets,58.43,99.95
P00377,Mini Desk 377,CAT00001,Baby,246.61,686.92
P00378,Max Ball 378,CAT00019,Travel,84.0,122.48
P00379,Mini Ball 379,CAT00007,Gaming,125.96,236.03
P00380,Pro Notebook 380,CAT00006,Furniture,132.42,291.35
P00381,Nova Puzzle 381,CAT00005,Electronics,163.77,238.64
P00382,Prime Shirt 382,CAT00011,Home Appliances,269.62,315.09
P00383,Basic Ball 383,CAT00003,Books,246.85,639.81
P00384,Prime Desk 384,CAT00002,Beauty,221.06,363.12
P00385,Plus Notebook 385,CAT00017,Sports,10.15,11.79
P00386,Basic Desk 386,CAT00018,Toys,359.72,470.14
P00387,Pro Ball 387,CAT00004,Clothing,95.04,250.48
P00388,Basic Headphones 388,CAT00016,Shoes,302.72,816.01
P00389,Smart Desk 389,CAT00009,Grocery,274.71,754.12
P00390,Eco Cream 390,CAT00014,Office,145.86,323.51
P00391,Nova Notebook 391,CAT00008,Garden,18.27,30.83
P00392,Prime Cream 392,CAT00000,Automotive,121.0,209.49
P00393,Mini Shirt 393,CAT00010,Health,58.28,125.04
P00394,Pro Puzzle 394,CAT00012,Jewelry,301.92,551.85
P00395,Plus Desk 395,CAT00013,Music,293.0,541.44
P00396,Prime Cream 396,CAT00015,Pets,286.22,618.0
P00397,Classic Puzzle 397,CAT00001,Baby,244.94,636.43
P00398,Plus Cream 398,CAT00019,Travel,94.68,206.26
P00399,Smart Ball 399,CAT00007,Gaming,139.74,282.62
P00400,Prime Puzzle 400,CAT00006,Furniture,151.71,240.77
P00401,Classic Puzzle 401,CAT00005,Electronics,154.81,387.8
P00402,Plus Mixer 402,CAT00011,Home Appliances,127.27,286.84
P00403,Mini Ball 403,CAT00003,Books,380.22,1017.38
P00404,Mini Notebook 404,CAT00002,Beauty,396.01,526.46
P00405,Prime Coffee 405,CAT00017,Sports,382.05,772.23
P00406,Nova Headphones 406,CAT00018,Toys,307.89,791.41
P00407,Classic Cream 407,CAT00004,Clothing,191.59,535.51
P00408,Prime Sneakers 408,CAT00016,Shoes,39.95,51.51
P00409,Plus Ball 409,CAT00009,Grocery,244.96,443.97
P00410,Classic Mixer 410,CAT00014,Office,327.16,425.14
P00411,Max Desk 411,CAT00008,Garden,25.89,56.32
P00412,Nova Ball 412,CAT00000,Automotive,182.91,291.96
P00413,Plus Shirt 413,CAT00010,Health,344.24,526.41
P00414,Max Mixer 414,CAT00012,Jewelry,179.29,279.68
P00415,Plus Mixer 415,CAT00013,Music,179.33,403.07
P00416,Basic Cream 416,CAT00015,Pets,322.42,533.41
P00417,Basic Mixer 417,CAT00001,Baby,166.29,246.46
P00418,Smart Headphones 418,CAT00019,Travel,77.77,216.1
P00419,Prime Cream 419,CAT00007,Gaming,154.82,206.51
P00420,Smart Puzzle 420,CAT00006,Furniture,101.83,151.61
P00421,Classic Sneakers 421,CAT00005,Electronics,195.9,330.92
P00422,Prime Desk 422,CAT00011,Home Appliances,179.61,346.09
P00423,Basic Coffee 423,CAT00003,Books,277.51,435.42
P00424,Eco Coffee 424,CAT00002,Beauty,295.17,614.82
P00425,Pro Mixer 425,CAT00017,Sports,136.16,346.38
P00426,Basic Mixer 426,CAT00018,Toys,288.91,561.11
P00427,Smart Notebook 427,CAT00004,Clothing,273.02,377.32
P00428,Smart Headphones 428,CAT00016,Shoes,32.67,71.02
P00429,Eco Cream 429,CAT00009,Grocery,109.15,222.46
P00430,Nova Puzzle 430,CAT00014,Office,49.37,56.85
P00431,Smart Coffee 431,CAT00008,Garden,220.23,444.28
